
Detailed
 ==================== 
Filament No. Sholl Intersections,Unit,Category,Radius,Time,ID,
0,,Filament,0.000,1,100000000,
0,,Filament,1.000,1,100000000,
0,,Filament,2.000,1,100000000,
2,,Filament,3.000,1,100000000,
10,,Filament,4.000,1,100000000,
11,,Filament,5.000,1,100000000,
7,,Filament,6.000,1,100000000,
8,,Filament,7.000,1,100000000,
7,,Filament,8.000,1,100000000,
9,,Filament,9.000,1,100000000,
14,,Filament,10.000,1,100000000,
11,,Filament,11.000,1,100000000,
10,,Filament,12.000,1,100000000,
8,,Filament,13.000,1,100000000,
9,,Filament,14.000,1,100000000,
5,,Filament,15.000,1,100000000,
6,,Filament,16.000,1,100000000,
8,,Filament,17.000,1,100000000,
9,,Filament,18.000,1,100000000,
8,,Filament,19.000,1,100000000,
8,,Filament,20.000,1,100000000,
7,,Filament,21.000,1,100000000,
8,,Filament,22.000,1,100000000,
7,,Filament,23.000,1,100000000,
8,,Filament,24.000,1,100000000,
4,,Filament,25.000,1,100000000,
3,,Filament,26.000,1,100000000,
3,,Filament,27.000,1,100000000,
3,,Filament,28.000,1,100000000,
2,,Filament,29.000,1,100000000,
1,,Filament,30.000,1,100000000,
1,,Filament,31.000,1,100000000,
1,,Filament,32.000,1,100000000,
0,,Filament,33.000,1,100000000,
